,Uni,Links,Target Link,Is_working?
0,ABDULLAH GÜL ÜNİVERSİTESİ,agu.edu.tr,https://avesis.agu.edu.tr/proxy/search/_search,working.
1,ACIBADEM MEHMET ALİ AYDINLAR ÜNİVERSİTESİ,acibadem.edu.tr,https://avesis.acibadem.edu.tr/proxy/search/_search,working.
2,ADANA ALPARSLAN TÜRKEŞ BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,atu.edu.tr,https://avesis.atu.edu.tr/proxy/search/_search,not working.
3,ADIYAMAN ÜNİVERSİTESİ,adiyaman.edu.tr,https://avesis.adiyaman.edu.tr/proxy/search/_search,not working.
4,AFYON KOCATEPE ÜNİVERSİTESİ,aku.edu.tr,https://avesis.aku.edu.tr/proxy/search/_search,not working.
5,AFYONKARAHİSAR SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,afsu.edu.tr,https://avesis.afsu.edu.tr/proxy/search/_search,not working.
6,AĞRI İBRAHİM ÇEÇEN ÜNİVERSİTESİ,agri.edu.tr,https://avesis.agri.edu.tr/proxy/search/_search,not working.
7,AKDENİZ ÜNİVERSİTESİ,akdeniz.edu.tr,https://avesis.akdeniz.edu.tr/proxy/search/_search,working.
8,AKSARAY ÜNİVERSİTESİ,aksaray.edu.tr,https://avesis.aksaray.edu.tr/proxy/search/_search,working.
9,ALANYA ALAADDİN KEYKUBAT ÜNİVERSİTESİ,alanya.edu.tr,https://avesis.alanya.edu.tr/proxy/search/_search,not working.
10,ALANYA ÜNİVERSİTESİ,alanyauniversity.edu.tr,https://avesis.alanyauniversity.edu.tr/proxy/search/_search,working.
11,ALTINBAŞ ÜNİVERSİTESİ,altinbas.edu.tr,https://avesis.altinbas.edu.tr/proxy/search/_search,not working.
12,AMASYA ÜNİVERSİTESİ,amasya.edu.tr,https://avesis.amasya.edu.tr/proxy/search/_search,not working.
13,ANADOLU ÜNİVERSİTESİ,anadolu.edu.tr,https://avesis.anadolu.edu.tr/proxy/search/_search,working.
14,ANKARA BİLİM ÜNİVERSİTESİ,ankarabilim.edu.tr,https://avesis.ankarabilim.edu.tr/proxy/search/_search,not working.
15,ANKARA HACI BAYRAM VELİ ÜNİVERSİTESİ,hacibayram.edu.tr,https://avesis.hacibayram.edu.tr/proxy/search/_search,not working.
16,ANKARA MEDİPOL ÜNİVERSİTESİ,ankaramedipol.edu.tr,https://avesis.ankaramedipol.edu.tr/proxy/search/_search,not working.
17,ANKARA MÜZİK VE GÜZEL SANATLAR ÜNİVERSİTESİ,mgu.edu.tr,https://avesis.mgu.edu.tr/proxy/search/_search,not working.
18,ANKARA SOSYAL BİLİMLER ÜNİVERSİTESİ,asbu.edu.tr,https://avesis.asbu.edu.tr/proxy/search/_search,not working.
19,ANKARA ÜNİVERSİTESİ,ankara.edu.tr,https://avesis.ankara.edu.tr/proxy/search/_search,working.
20,ANKARA YILDIRIM BEYAZIT ÜNİVERSİTESİ,aybu.edu.tr,https://avesis.aybu.edu.tr/proxy/search/_search,working.
21,ANTALYA BELEK ÜNİVERSİTESİ,belek.edu.tr,https://avesis.belek.edu.tr/proxy/search/_search,not working.
22,ANTALYA BİLİM ÜNİVERSİTESİ,antalya.edu.tr,https://avesis.antalya.edu.tr/proxy/search/_search,not working.
23,ARDAHAN ÜNİVERSİTESİ,ardahan.edu.tr,https://avesis.ardahan.edu.tr/proxy/search/_search,not working.
24,ARTVİN ÇORUH ÜNİVERSİTESİ,artvin.edu.tr,https://avesis.artvin.edu.tr/proxy/search/_search,working.
25,ATAŞEHİR ADIGÜZEL MESLEK YÜKSEKOKULU,adiguzel.edu.tr,https://avesis.adiguzel.edu.tr/proxy/search/_search,not working.
26,ATATÜRK ÜNİVERSİTESİ,atauni.edu.tr,https://avesis.atauni.edu.tr/proxy/search/_search,working.
27,ATILIM ÜNİVERSİTESİ,atilim.edu.tr,https://avesis.atilim.edu.tr/proxy/search/_search,not working.
28,AVRASYA ÜNİVERSİTESİ,avrasya.edu.tr,https://avesis.avrasya.edu.tr/proxy/search/_search,not working.
29,AYDIN ADNAN MENDERES ÜNİVERSİTESİ,adu.edu.tr,https://avesis.adu.edu.tr/proxy/search/_search,not working.
30,BAHÇEŞEHİR ÜNİVERSİTESİ,bahcesehir.edu.tr,https://avesis.bahcesehir.edu.tr/proxy/search/_search,not working.
31,BALIKESİR ÜNİVERSİTESİ,balikesir.edu.tr,https://avesis.balikesir.edu.tr/proxy/search/_search,working.
32,BANDIRMA ONYEDİ EYLÜL ÜNİVERSİTESİ,bandirma.edu.tr,https://avesis.bandirma.edu.tr/proxy/search/_search,not working.
33,BARTIN ÜNİVERSİTESİ,bartin.edu.tr,https://avesis.bartin.edu.tr/proxy/search/_search,not working.
34,BAŞKENT ÜNİVERSİTESİ,baskent.edu.tr,https://avesis.baskent.edu.tr/proxy/search/_search,not working.
35,BATMAN ÜNİVERSİTESİ,batman.edu.tr,https://avesis.batman.edu.tr/proxy/search/_search,not working.
36,BAYBURT ÜNİVERSİTESİ,bayburt.edu.tr,https://avesis.bayburt.edu.tr/proxy/search/_search,not working.
37,BEYKOZ ÜNİVERSİTESİ,beykoz.edu.tr,https://avesis.beykoz.edu.tr/proxy/search/_search,not working.
38,BEZM-İ ÂLEM VAKIF ÜNİVERSİTESİ,bezmialem.edu.tr,https://avesis.bezmialem.edu.tr/proxy/search/_search,working.
39,BİLECİK ŞEYH EDEBALİ ÜNİVERSİTESİ,bilecik.edu.tr,https://avesis.bilecik.edu.tr/proxy/search/_search,working.
40,BİNGÖL ÜNİVERSİTESİ,bingol.edu.tr,https://avesis.bingol.edu.tr/proxy/search/_search,not working.
41,BİRUNİ ÜNİVERSİTESİ,biruni.edu.tr,https://avesis.biruni.edu.tr/proxy/search/_search,not working.
42,BİTLİS EREN ÜNİVERSİTESİ,beu.edu.tr,https://avesis.beu.edu.tr/proxy/search/_search,not working.
43,BOĞAZİÇİ ÜNİVERSİTESİ,boun.edu.tr,https://avesis.boun.edu.tr/proxy/search/_search,not working.
44,BOLU ABANT İZZET BAYSAL ÜNİVERSİTESİ,ibu.edu.tr,https://avesis.ibu.edu.tr/proxy/search/_search,not working.
45,BURDUR MEHMET AKİF ERSOY ÜNİVERSİTESİ,mehmetakif.edu.tr,https://avesis.mehmetakif.edu.tr/proxy/search/_search,not working.
46,BURSA TEKNİK ÜNİVERSİTESİ,btu.edu.tr,https://avesis.btu.edu.tr/proxy/search/_search,not working.
47,BURSA ULUDAĞ ÜNİVERSİTESİ,uludag.edu.tr,https://avesis.uludag.edu.tr/proxy/search/_search,working.
48,ÇAĞ ÜNİVERSİTESİ,cag.edu.tr,https://avesis.cag.edu.tr/proxy/search/_search,not working.
49,ÇANAKKALE ONSEKİZ MART ÜNİVERSİTESİ,comu.edu.tr,https://avesis.comu.edu.tr/proxy/search/_search,working.
50,ÇANKAYA ÜNİVERSİTESİ,cankaya.edu.tr,https://avesis.cankaya.edu.tr/proxy/search/_search,not working.
51,ÇANKIRI KARATEKİN ÜNİVERSİTESİ,karatekin.edu.tr,https://avesis.karatekin.edu.tr/proxy/search/_search,not working.
52,ÇUKUROVA ÜNİVERSİTESİ,cu.edu.tr,https://avesis.cu.edu.tr/proxy/search/_search,working.
53,DEMİROĞLU BİLİM ÜNİVERSİTESİ,demiroglu.bilim.edu.tr,https://avesis.demiroglu.bilim.edu.tr/proxy/search/_search,working.
54,DİCLE ÜNİVERSİTESİ,dicle.edu.tr,https://avesis.dicle.edu.tr/proxy/search/_search,not working.
55,DOĞUŞ ÜNİVERSİTESİ,dogus.edu.tr,https://avesis.dogus.edu.tr/proxy/search/_search,not working.
56,DOKUZ EYLÜL ÜNİVERSİTESİ,deu.edu.tr,https://avesis.deu.edu.tr/proxy/search/_search,working.
57,DÜZCE ÜNİVERSİTESİ,duzce.edu.tr,https://avesis.duzce.edu.tr/proxy/search/_search,not working.
58,EGE ÜNİVERSİTESİ,ege.edu.tr,https://avesis.ege.edu.tr/proxy/search/_search,not working.
59,ERCİYES ÜNİVERSİTESİ,erciyes.edu.tr,https://avesis.erciyes.edu.tr/proxy/search/_search,working.
60,ERZİNCAN BİNALİ YILDIRIM ÜNİVERSİTESİ,erzincan.edu.tr,https://avesis.erzincan.edu.tr/proxy/search/_search,not working.
61,ERZURUM TEKNİK ÜNİVERSİTESİ,erzurum.edu.tr,https://avesis.erzurum.edu.tr/proxy/search/_search,not working.
62,ESKİŞEHİR OSMANGAZİ ÜNİVERSİTESİ,ogu.edu.tr,https://avesis.ogu.edu.tr/proxy/search/_search,working.
63,ESKİŞEHİR TEKNİK ÜNİVERSİTESİ,eskisehir.edu.tr,https://avesis.eskisehir.edu.tr/proxy/search/_search,not working.
64,FATİH SULTAN MEHMET VAKIF ÜNİVERSİTESİ,fsm.edu.tr,https://avesis.fsm.edu.tr/proxy/search/_search,not working.
65,FENERBAHÇE ÜNİVERSİTESİ,fbu.edu.tr,https://avesis.fbu.edu.tr/proxy/search/_search,not working.
66,FIRAT ÜNİVERSİTESİ,firat.edu.tr,https://avesis.firat.edu.tr/proxy/search/_search,not working.
67,GALATASARAY ÜNİVERSİTESİ,gsu.edu.tr,https://avesis.gsu.edu.tr/proxy/search/_search,working.
68,GAZİ ÜNİVERSİTESİ,gazi.edu.tr,https://avesis.gazi.edu.tr/proxy/search/_search,working.
69,GAZİANTEP İSLAM BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,gibtu.edu.tr,https://avesis.gibtu.edu.tr/proxy/search/_search,not working.
70,GAZİANTEP ÜNİVERSİTESİ,gantep.edu.tr,https://avesis.gantep.edu.tr/proxy/search/_search,not working.
71,GEBZE TEKNİK ÜNİVERSİTESİ,gtu.edu.tr,https://avesis.gtu.edu.tr/proxy/search/_search,not working.
72,GİRESUN ÜNİVERSİTESİ,giresun.edu.tr,https://avesis.giresun.edu.tr/proxy/search/_search,not working.
73,GÜMÜŞHANE ÜNİVERSİTESİ,gumushane.edu.tr,https://avesis.gumushane.edu.tr/proxy/search/_search,not working.
74,HACETTEPE ÜNİVERSİTESİ,hacettepe.edu.tr,https://avesis.hacettepe.edu.tr/proxy/search/_search,working.
75,HAKKARİ ÜNİVERSİTESİ,hakkari.edu.tr,https://avesis.hakkari.edu.tr/proxy/search/_search,working.
76,HALİÇ ÜNİVERSİTESİ,halic.edu.tr,https://avesis.halic.edu.tr/proxy/search/_search,not working.
77,HARRAN ÜNİVERSİTESİ,harran.edu.tr,https://avesis.harran.edu.tr/proxy/search/_search,not working.
78,HASAN KALYONCU ÜNİVERSİTESİ,hku.edu.tr,https://avesis.hku.edu.tr/proxy/search/_search,not working.
79,HATAY MUSTAFA KEMAL ÜNİVERSİTESİ,mku.edu.tr,https://avesis.mku.edu.tr/proxy/search/_search,working.
80,HİTİT ÜNİVERSİTESİ,hitit.edu.tr,https://avesis.hitit.edu.tr/proxy/search/_search,not working.
81,IĞDIR ÜNİVERSİTESİ,igdir.edu.tr,https://avesis.igdir.edu.tr/proxy/search/_search,not working.
82,ISPARTA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,isparta.edu.tr,https://avesis.isparta.edu.tr/proxy/search/_search,working.
83,IŞIK ÜNİVERSİTESİ,isikun.edu.tr,https://avesis.isikun.edu.tr/proxy/search/_search,not working.
84,İBN HALDUN ÜNİVERSİTESİ,ihu.edu.tr,https://avesis.ihu.edu.tr/proxy/search/_search,not working.
85,İHSAN DOĞRAMACI BİLKENT ÜNİVERSİTESİ,bilkent.edu.tr,https://avesis.bilkent.edu.tr/proxy/search/_search,not working.
86,İNÖNÜ ÜNİVERSİTESİ,inonu.edu.tr,https://avesis.inonu.edu.tr/proxy/search/_search,working.
87,İSKENDERUN TEKNİK ÜNİVERSİTESİ,iste.edu.tr,https://avesis.iste.edu.tr/proxy/search/_search,not working.
88,İSTANBUL 29 MAYIS ÜNİVERSİTESİ,29mayis.edu.tr,https://avesis.29mayis.edu.tr/proxy/search/_search,not working.
89,İSTANBUL AREL ÜNİVERSİTESİ,arel.edu.tr,https://avesis.arel.edu.tr/proxy/search/_search,not working.
90,İSTANBUL ATLAS ÜNİVERSİTESİ,atlas.edu.tr,https://avesis.atlas.edu.tr/proxy/search/_search,not working.
91,İSTANBUL AYDIN ÜNİVERSİTESİ,aydin.edu.tr,https://avesis.aydin.edu.tr/proxy/search/_search,not working.
92,İSTANBUL BEYKENT ÜNİVERSİTESİ,beykent.edu.tr,https://avesis.beykent.edu.tr/proxy/search/_search,not working.
93,İSTANBUL BİLGİ ÜNİVERSİTESİ,bilgi.edu.tr,https://avesis.bilgi.edu.tr/proxy/search/_search,not working.
94,İSTANBUL ESENYURT ÜNİVERSİTESİ,esenyurt.edu.tr,https://avesis.esenyurt.edu.tr/proxy/search/_search,not working.
95,İSTANBUL GALATA ÜNİVERSİTESİ,galata.edu.tr,https://avesis.galata.edu.tr/proxy/search/_search,not working.
96,İSTANBUL GEDİK ÜNİVERSİTESİ,gedik.edu.tr,https://avesis.gedik.edu.tr/proxy/search/_search,not working.
97,İSTANBUL GELİŞİM ÜNİVERSİTESİ,gelisim.edu.tr,https://avesis.gelisim.edu.tr/proxy/search/_search,working.
98,İSTANBUL KENT ÜNİVERSİTESİ,kent.edu.tr,https://avesis.kent.edu.tr/proxy/search/_search,working.
99,İSTANBUL KÜLTÜR ÜNİVERSİTESİ,iku.edu.tr,https://avesis.iku.edu.tr/proxy/search/_search,working.
100,İSTANBUL MEDENİYET ÜNİVERSİTESİ,medeniyet.edu.tr,https://avesis.medeniyet.edu.tr/proxy/search/_search,not working.
101,İSTANBUL MEDİPOL ÜNİVERSİTESİ,medipol.edu.tr,https://avesis.medipol.edu.tr/proxy/search/_search,working.
102,İSTANBUL NİŞANTAŞI ÜNİVERSİTESİ,nisantasi.edu.tr,https://avesis.nisantasi.edu.tr/proxy/search/_search,not working.
103,İSTANBUL OKAN ÜNİVERSİTESİ,okan.edu.tr,https://avesis.okan.edu.tr/proxy/search/_search,not working.
104,İSTANBUL RUMELİ ÜNİVERSİTESİ,rumeli.edu.tr,https://avesis.rumeli.edu.tr/proxy/search/_search,not working.
105,İSTANBUL SABAHATTİN ZAİM ÜNİVERSİTESİ,izu.edu.tr,https://avesis.izu.edu.tr/proxy/search/_search,not working.
106,İSTANBUL SAĞLIK VE SOSYAL BİLİMLER MESLEK YÜKSEKOKULU,issb.edu.tr,https://avesis.issb.edu.tr/proxy/search/_search,not working.
107,İSTANBUL SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,istun.edu.tr,https://avesis.istun.edu.tr/proxy/search/_search,not working.
108,İSTANBUL ŞİŞLİ MESLEK YÜKSEKOKULU,sisli.edu.tr,https://avesis.sisli.edu.tr/proxy/search/_search,working.
109,İSTANBUL TEKNİK ÜNİVERSİTESİ,itu.edu.tr,https://avesis.itu.edu.tr/proxy/search/_search,not working.
110,İSTANBUL TİCARET ÜNİVERSİTESİ,ticaret.edu.tr,https://avesis.ticaret.edu.tr/proxy/search/_search,working.
111,İSTANBUL TOPKAPI ÜNİVERSİTESİ,topkapi.edu.tr,https://avesis.topkapi.edu.tr/proxy/search/_search,not working.
112,İSTANBUL ÜNİVERSİTESİ,istanbul.edu.tr,https://avesis.istanbul.edu.tr/proxy/search/_search,working.
113,İSTANBUL ÜNİVERSİTESİ-CERRAHPAŞA,iuc.edu.tr,https://avesis.iuc.edu.tr/proxy/search/_search,working.
114,İSTANBUL YENİ YÜZYIL ÜNİVERSİTESİ,yeniyuzyil.edu.tr,https://avesis.yeniyuzyil.edu.tr/proxy/search/_search,working.
115,İSTİNYE ÜNİVERSİTESİ,istinye.edu.tr,https://avesis.istinye.edu.tr/proxy/search/_search,not working.
116,İZMİR BAKIRÇAY ÜNİVERSİTESİ,bakircay.edu.tr,https://avesis.bakircay.edu.tr/proxy/search/_search,not working.
117,İZMİR DEMOKRASİ ÜNİVERSİTESİ,idu.edu.tr,https://avesis.idu.edu.tr/proxy/search/_search,not working.
118,İZMİR EKONOMİ ÜNİVERSİTESİ,ieu.edu.tr,https://avesis.ieu.edu.tr/proxy/search/_search,not working.
119,İZMİR KATİP ÇELEBİ ÜNİVERSİTESİ,ikc.edu.tr,https://avesis.ikc.edu.tr/proxy/search/_search,not working.
120,İZMİR KAVRAM MESLEK YÜKSEKOKULU,kavram.edu.tr,https://avesis.kavram.edu.tr/proxy/search/_search,not working.
121,İZMİR TINAZTEPE ÜNİVERSİTESİ,tinaztepe.edu.tr,https://avesis.tinaztepe.edu.tr/proxy/search/_search,not working.
122,İZMİR YÜKSEK TEKNOLOJİ ENSTİTÜSÜ,iyte.edu.tr,https://avesis.iyte.edu.tr/proxy/search/_search,not working.
123,KADİR HAS ÜNİVERSİTESİ,khas.edu.tr,https://avesis.khas.edu.tr/proxy/search/_search,not working.
124,KAFKAS ÜNİVERSİTESİ,kafkas.edu.tr,https://avesis.kafkas.edu.tr/proxy/search/_search,not working.
125,KAHRAMANMARAŞ İSTİKLAL ÜNİVERSİTESİ,istiklal.edu.tr,https://avesis.istiklal.edu.tr/proxy/search/_search,not working.
126,KAHRAMANMARAŞ SÜTÇÜ İMAM ÜNİVERSİTESİ,ksu.edu.tr,https://avesis.ksu.edu.tr/proxy/search/_search,not working.
127,KAPADOKYA ÜNİVERSİTESİ,kapadokya.edu.tr,https://avesis.kapadokya.edu.tr/proxy/search/_search,not working.
128,KARABÜK ÜNİVERSİTESİ,karabuk.edu.tr,https://avesis.karabuk.edu.tr/proxy/search/_search,not working.
129,KARADENİZ TEKNİK ÜNİVERSİTESİ,ktu.edu.tr,https://avesis.ktu.edu.tr/proxy/search/_search,working.
130,KARAMANOĞLU MEHMETBEY ÜNİVERSİTESİ,kmu.edu.tr,https://avesis.kmu.edu.tr/proxy/search/_search,not working.
131,KASTAMONU ÜNİVERSİTESİ,kastamonu.edu.trindex.phptr,https://avesis.kastamonu.edu.trindex.phptr/proxy/search/_search,not working.
132,KAYSERİ ÜNİVERSİTESİ,kayseri.edu.tr,https://avesis.kayseri.edu.tr/proxy/search/_search,working.
133,KIRIKKALE ÜNİVERSİTESİ,kku.edu.tr,https://avesis.kku.edu.tr/proxy/search/_search,not working.
134,KIRKLARELİ ÜNİVERSİTESİ,klu.edu.tr,https://avesis.klu.edu.tr/proxy/search/_search,not working.
135,KIRŞEHİR AHİ EVRAN ÜNİVERSİTESİ,ahievran.edu.tr,https://avesis.ahievran.edu.tr/proxy/search/_search,not working.
136,KİLİS 7 ARALIK ÜNİVERSİTESİ,kilis.edu.tr,https://avesis.kilis.edu.tr/proxy/search/_search,not working.
137,KOCAELİ SAĞLIK VE TEKNOLOJİ ÜNİVERSİTESİ,kocaelisaglik.edu.tr,https://avesis.kocaelisaglik.edu.tr/proxy/search/_search,not working.
138,KOCAELİ ÜNİVERSİTESİ,kocaeli.edu.tr,https://avesis.kocaeli.edu.tr/proxy/search/_search,working.
139,KOÇ ÜNİVERSİTESİ,ku.edu.tr,https://avesis.ku.edu.tr/proxy/search/_search,not working.
140,KONYA GIDA VE TARIM ÜNİVERSİTESİ,gidatarim.edu.tr,https://avesis.gidatarim.edu.tr/proxy/search/_search,not working.
141,KONYA TEKNİK ÜNİVERSİTESİ,ktun.edu.tr,https://avesis.ktun.edu.tr/proxy/search/_search,not working.
142,KTO KARATAY ÜNİVERSİTESİ,karatay.edu.tr,https://avesis.karatay.edu.tr/proxy/search/_search,not working.
143,KÜTAHYA DUMLUPINAR ÜNİVERSİTESİ,dpu.edu.tr,https://avesis.dpu.edu.tr/proxy/search/_search,not working.
144,KÜTAHYA SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,ksbu.edu.tr,https://avesis.ksbu.edu.tr/proxy/search/_search,working.
145,LOKMAN HEKİM ÜNİVERSİTESİ,lokmanhekim.edu.tr,https://avesis.lokmanhekim.edu.tr/proxy/search/_search,working.
146,MALATYA TURGUT ÖZAL ÜNİVERSİTESİ,ozal.edu.tr,https://avesis.ozal.edu.tr/proxy/search/_search,not working.
147,MALTEPE ÜNİVERSİTESİ,maltepe.edu.tr,https://avesis.maltepe.edu.tr/proxy/search/_search,working.
148,MANİSA CELÂL BAYAR ÜNİVERSİTESİ,cbu.edu.tr,https://avesis.cbu.edu.tr/proxy/search/_search,not working.
149,MARDİN ARTUKLU ÜNİVERSİTESİ,artuklu.edu.tr,https://avesis.artuklu.edu.tr/proxy/search/_search,not working.
150,MARMARA ÜNİVERSİTESİ,marmara.edu.tr,https://avesis.marmara.edu.tr/proxy/search/_search,working.
151,MEF ÜNİVERSİTESİ,mef.edu.tr,https://avesis.mef.edu.tr/proxy/search/_search,not working.
152,MERSİN ÜNİVERSİTESİ,mersin.edu.tridarigenel-sekreterlik,https://avesis.mersin.edu.tridarigenel-sekreterlik/proxy/search/_search,not working.
153,MİMAR SİNAN GÜZEL SANATLAR ÜNİVERSİTESİ,msgsu.edu.tr,https://avesis.msgsu.edu.tr/proxy/search/_search,not working.
154,MUDANYA ÜNİVERSİTESİ,mudanya.edu.tr,https://avesis.mudanya.edu.tr/proxy/search/_search,not working.
155,MUĞLA SITKI KOÇMAN ÜNİVERSİTESİ,mu.edu.tr,https://avesis.mu.edu.tr/proxy/search/_search,not working.
156,MUNZUR ÜNİVERSİTESİ,munzur.edu.tr,https://avesis.munzur.edu.tr/proxy/search/_search,not working.
157,MUŞ ALPARSLAN ÜNİVERSİTESİ,alparslan.edu.tr,https://avesis.alparslan.edu.tr/proxy/search/_search,not working.
158,NECMETTİN ERBAKAN ÜNİVERSİTESİ,erbakan.edu.tr,https://avesis.erbakan.edu.tr/proxy/search/_search,not working.
159,NEVŞEHİR HACI BEKTAŞ VELİ ÜNİVERSİTESİ,nevsehir.edu.tr,https://avesis.nevsehir.edu.tr/proxy/search/_search,working.
160,NİĞDE ÖMER HALİSDEMİR ÜNİVERSİTESİ,ohu.edu.tr,https://avesis.ohu.edu.tr/proxy/search/_search,not working.
161,NUH NACİ YAZGAN ÜNİVERSİTESİ,nny.edu.tr,https://avesis.nny.edu.tr/proxy/search/_search,not working.
162,ONDOKUZ MAYIS ÜNİVERSİTESİ,omu.edu.tr,https://avesis.omu.edu.tr/proxy/search/_search,working.
163,ORDU ÜNİVERSİTESİ,odu.edu.tr,https://avesis.odu.edu.tr/proxy/search/_search,not working.
164,ORTA DOĞU TEKNİK ÜNİVERSİTESİ,metu.edu.tr,https://avesis.metu.edu.tr/proxy/search/_search,working.
165,OSMANİYE KORKUT ATA ÜNİVERSİTESİ,osmaniye.edu.tr,https://avesis.osmaniye.edu.tr/proxy/search/_search,not working.
166,OSTİM TEKNİK ÜNİVERSİTESİ,ostimteknik.edu.tr,https://avesis.ostimteknik.edu.tr/proxy/search/_search,not working.
167,ÖZYEĞİN ÜNİVERSİTESİ,ozyegin.edu.tr,https://avesis.ozyegin.edu.tr/proxy/search/_search,working.
168,PAMUKKALE ÜNİVERSİTESİ,pau.edu.tr,https://avesis.pau.edu.tr/proxy/search/_search,not working.
169,PİRİ REİS ÜNİVERSİTESİ,pirireis.edu.tr,https://avesis.pirireis.edu.tr/proxy/search/_search,not working.
170,RECEP TAYYİP ERDOĞAN ÜNİVERSİTESİ,erdogan.edu.tr,https://avesis.erdogan.edu.tr/proxy/search/_search,working.
171,SABANCI ÜNİVERSİTESİ,sabanciuniv.edu,https://avesis.sabanciuniv.edu/proxy/search/_search,not working.
172,SAĞLIK BİLİMLERİ ÜNİVERSİTESİ,sbu.edu.tr,https://avesis.sbu.edu.tr/proxy/search/_search,not working.
173,SAKARYA UYGULAMALI BİLİMLER ÜNİVERSİTESİ,subu.edu.tr,https://avesis.subu.edu.tr/proxy/search/_search,not working.
174,SAKARYA ÜNİVERSİTESİ,sakarya.edu.tr,https://avesis.sakarya.edu.tr/proxy/search/_search,not working.
175,SAMSUN ÜNİVERSİTESİ,samsun.edu.tr,https://avesis.samsun.edu.tr/proxy/search/_search,working.
176,SANKO ÜNİVERSİTESİ,sanko.edu.tr,https://avesis.sanko.edu.tr/proxy/search/_search,not working.
177,SELÇUK ÜNİVERSİTESİ,selcuk.edu.tr,https://avesis.selcuk.edu.tr/proxy/search/_search,not working.
178,SİİRT ÜNİVERSİTESİ,siirt.edu.tr,https://avesis.siirt.edu.tr/proxy/search/_search,working.
179,SİNOP ÜNİVERSİTESİ,sinop.edu.tr,https://avesis.sinop.edu.tr/proxy/search/_search,not working.
180,SİVAS BİLİM VE TEKNOLOJİ ÜNİVERSİTESİ,sivas.edu.tr,https://avesis.sivas.edu.tr/proxy/search/_search,not working.
181,SİVAS CUMHURİYET ÜNİVERSİTESİ,cumhuriyet.edu.tr,https://avesis.cumhuriyet.edu.tr/proxy/search/_search,working.
182,SÜLEYMAN DEMİREL ÜNİVERSİTESİ,sdu.edu.tr,https://avesis.sdu.edu.tr/proxy/search/_search,working.
183,ŞIRNAK ÜNİVERSİTESİ,sirnak.edu.tr,https://avesis.sirnak.edu.tr/proxy/search/_search,not working.
184,TARSUS ÜNİVERSİTESİ,tarsus.edu.tr,https://avesis.tarsus.edu.tr/proxy/search/_search,not working.
185,TED ÜNİVERSİTESİ,tedu.edu.tr,https://avesis.tedu.edu.tr/proxy/search/_search,working.
186,TEKİRDAĞ NAMIK KEMAL ÜNİVERSİTESİ,nku.edu.tr,https://avesis.nku.edu.tr/proxy/search/_search,not working.
187,TOBB EKONOMİ VE TEKNOLOJİ ÜNİVERSİTESİ,etu.edu.tr,https://avesis.etu.edu.tr/proxy/search/_search,not working.
188,TOKAT GAZİOSMANPAŞA ÜNİVERSİTESİ,gop.edu.tr,https://avesis.gop.edu.tr/proxy/search/_search,not working.
189,TOROS ÜNİVERSİTESİ,toros.edu.tr,https://avesis.toros.edu.tr/proxy/search/_search,not working.
190,TRABZON ÜNİVERSİTESİ,trabzon.edu.tr,https://avesis.trabzon.edu.tr/proxy/search/_search,not working.
191,TRAKYA ÜNİVERSİTESİ,trakya.edu.tr,https://avesis.trakya.edu.tr/proxy/search/_search,working.
192,TÜRK HAVA KURUMU ÜNİVERSİTESİ,thk.edu.tr,https://avesis.thk.edu.tr/proxy/search/_search,not working.
193,TÜRK-ALMAN ÜNİVERSİTESİ,tau.edu.tr,https://avesis.tau.edu.tr/proxy/search/_search,not working.
194,UFUK ÜNİVERSİTESİ,ufuk.edu.tr,https://avesis.ufuk.edu.tr/proxy/search/_search,not working.
195,UŞAK ÜNİVERSİTESİ,usak.edu.tr,https://avesis.usak.edu.tr/proxy/search/_search,working.
196,ÜSKÜDAR ÜNİVERSİTESİ,uskudar.edu.tr,https://avesis.uskudar.edu.tr/proxy/search/_search,not working.
197,VAN YÜZÜNCÜ YIL ÜNİVERSİTESİ,yyu.edu.tr,https://avesis.yyu.edu.tr/proxy/search/_search,working.
198,YALOVA ÜNİVERSİTESİ,yalova.edu.trrektorluk,https://avesis.yalova.edu.trrektorluk/proxy/search/_search,not working.
199,YAŞAR ÜNİVERSİTESİ,yasar.edu.tr,https://avesis.yasar.edu.tr/proxy/search/_search,not working.
200,YEDİTEPE ÜNİVERSİTESİ,yeditepe.edu.tr,https://avesis.yeditepe.edu.tr/proxy/search/_search,not working.
201,YILDIZ TEKNİK ÜNİVERSİTESİ,yildiz.edu.tr,https://avesis.yildiz.edu.tr/proxy/search/_search,working.
202,YOZGAT BOZOK ÜNİVERSİTESİ,bozok.edu.tr,https://avesis.bozok.edu.tr/proxy/search/_search,working.
203,ZONGULDAK BÜLENT ECEVİT ÜNİVERSİTESİ,beun.edu.tr,https://avesis.beun.edu.tr/proxy/search/_search,not working.
